,S288c_R64-1-1.fasta,saccharomyces_arboricola.fasta,saccharomyces_eubayanus.fasta,saccharomyces_kudriavzevii.fasta,saccharomyces_mikatae.fasta,saccharomyces_paradoxus.fasta,saccharomyces_uvarum.fasta
YBR016W,1,1,1,1,1,1,1
YBR017C,1,1,1,1,1,1,1
YBR018C,1,1,1,0,1,1,1
YBR019C,1,1,1,0,1,1,1
YBR021W,2,2,1,2,2,2,2
YBR022W,1,1,1,0,0,1,0
YBR023C,1,1,1,1,1,1,1
YBR024W,1,1,1,1,1,1,1
YBR025C,1,1,1,1,1,1,1
YBR026C,1,0,1,0,0,0,0
YBR027C,1,0,0,0,0,0,0
YBR028C,1,1,1,0,1,1,0
YBR029C,1,1,1,0,1,1,1
YBR030W,1,1,1,1,1,1,1
YBR032W,1,0,0,0,0,1,0
YBR033W,1,0,0,0,0,1,0
YBR034C,1,1,1,1,1,1,1
YBR035C,1,1,0,1,0,1,0
YBR036C,1,1,1,1,0,1,1
YBR037C,1,0,0,0,0,1,0
YBR038W,1,1,1,1,1,1,1
YBR039W,1,1,1,1,1,1,1
YBR040W,1,0,1,1,0,1,1
YBR041W,1,1,1,1,1,1,1
YBR042C,1,0,0,0,0,1,0
YBR043C,1,1,1,1,0,1,1
YBR044C,1,1,1,1,0,0,1
YBR045C,1,0,0,0,1,1,0
YBR046C,1,1,1,1,1,1,1
YBR047W,1,1,1,1,1,1,1
YFL040W,1,1,0,0,0,0,0
YFL041W,1,1,0,0,0,0,1
YFL041W-A,1,0,0,0,0,0,0
YFL042C,1,1,1,1,1,1,1
YFL044C,1,0,0,0,1,0,1
YFL045C,1,0,1,0,1,1,1
YFL046W,1,1,1,0,0,1,1
YNR032C-A,1,1,1,1,1,1,1
YNR032W,1,1,1,1,1,1,1
YNR033W,1,1,1,1,1,1,1
YNR034W-A,1,1,1,1,1,1,1
YNR035C,1,1,1,1,1,1,1
YNR036C,1,1,0,0,0,0,0
YNR037C,1,0,0,0,0,0,0
YNR038W,1,1,1,1,1,1,1
YNR039C,1,1,1,1,1,1,1
YNR040W,1,1,1,1,1,1,1
YNR041C,1,1,1,1,1,1,1
YNR042W,1,0,0,0,0,0,0
YNR043W,1,1,1,1,1,1,1
YNR044W,1,0,0,0,0,1,0
YNR045W,1,1,0,1,1,1,0
YNR046W,1,0,1,1,1,0,0
YNR047W,1,1,1,1,1,1,1
YNR048W,1,1,1,1,1,1,1
YNR049C,1,1,1,0,0,1,1
YNR050C,1,1,1,1,1,1,1
YNR051C,1,1,1,1,1,1,1
YNR052C,1,1,1,1,1,1,1
YNR053C,1,1,1,1,1,1,1
YNR054C,1,0,1,0,1,0,0
YNR055C,1,1,1,1,1,1,1
YNR056C,1,1,1,1,1,1,1
YNR057C,1,0,1,0,1,1,1
YNR058W,1,1,1,1,1,1,1
YNR059W,1,0,0,0,1,1,0
YNR060W,1,1,2,1,1,1,2
YNR061C,1,0,0,0,0,1,0
YNR062C,1,1,1,1,0,1,0
YNR063W,1,0,0,0,0,1,0
YNR064C,1,1,1,1,0,1,1
YNR065C,4,1,0,2,1,3,0
YNR066C,1,0,0,0,0,0,0
YNR067C,1,1,1,1,1,1,1
YNR068C,1,0,0,0,0,0,0
YNR069C,1,0,0,0,0,1,0
YNR070W,2,2,2,2,2,2,1
YNR073C,2,0,1,0,2,3,1
YNR075C-A,1,0,0,0,0,0,0
YNR075W,1,0,0,0,0,0,0
YOL001W,1,1,1,1,1,1,1
YOL002C,1,1,1,1,1,1,1
YOL003C,1,1,1,0,0,1,0
YOL004W,1,1,1,1,1,1,1
YOL005C,1,1,1,1,1,1,1
YOL006C,1,1,1,1,1,1,1
YOL007C,1,1,1,1,1,1,1
YOL008W,1,1,1,1,1,1,1
YOL009C,1,1,1,1,1,1,1
YOL010W,1,1,1,1,1,1,1
YOL011W,1,1,1,1,1,1,1
YOL012C,1,1,1,1,1,1,1
YOL013C,1,1,1,1,1,1,1
YOL013W-B,1,0,0,0,0,0,0
YOL014W,1,0,0,0,0,1,0
YOL015W,1,0,0,0,0,1,0
YOL016C,1,1,1,1,1,1,1
YOL017W,1,0,0,0,0,1,0
YOL018C,1,1,1,1,1,1,1
YOL019W,1,1,1,1,1,1,1
YOL019W-A,1,0,0,0,0,0,0
YOL020W,1,1,1,1,1,1,1
YOL021C,1,1,1,1,1,1,1
YOL022C,1,1,1,1,1,1,1
YOL023W,1,1,1,1,1,1,1
YOL024W,1,0,0,0,0,1,0
YOL025W,1,1,0,1,1,1,1
YOL026C,1,1,0,0,0,1,0
YOL027C,1,1,1,1,1,1,1
YOL028C,1,0,0,0,0,0,0
YOL029C,1,0,0,0,0,0,0
YOL030W,1,1,1,1,1,1,1
YOL031C,1,1,1,1,1,1,1
YOL032W,1,1,0,1,0,1,0
YOL033W,1,0,1,1,1,1,1
YOL034W,1,1,1,1,1,1,1
YOL035C,1,0,0,0,0,0,0
YOL036W,1,0,0,0,1,1,1
YOL037C,1,0,0,0,0,0,0
YOL038C-A,1,0,0,0,0,0,0
YOL038W,1,1,1,1,1,1,1
YOL039W,1,1,1,1,1,1,1
YOL040C,1,1,1,1,1,1,1
augustus_masked-NC_026175.1-processed-gene-1.80-mRNA-1_1,0,1,1,1,1,1,0
genemark-NC_026175.1-processed-gene-2.22-mRNA-1_1,0,1,0,0,0,0,0
snap_masked-NC_026175.1-processed-gene-2.115-mRNA-1_1,0,1,0,1,0,0,1
maker-NC_026175.1-augustus-gene-2.10-mRNA-1_1,0,1,0,0,0,0,0
snap_masked-NC_026175.1-processed-gene-4.15-mRNA-1_1,0,1,0,0,0,0,1
genemark-NC_026175.1-processed-gene-4.111-mRNA-1_1,0,1,1,1,1,1,1
snap_masked-NC_026176.1-processed-gene-0.44-mRNA-1_1,0,1,1,0,1,1,0
genemark-NC_026176.1-processed-gene-0.18-mRNA-1_1,0,1,1,1,1,1,1
augustus_masked-NC_026177.1-processed-gene-0.56-mRNA-1_1,0,1,0,1,0,0,1
augustus_masked-NC_026177.1-processed-gene-1.29-mRNA-1_1,0,1,0,0,0,0,0
augustus_masked-NC_026177.1-processed-gene-3.78-mRNA-1_1,0,1,0,0,0,0,0
augustus_masked-NC_026177.1-processed-gene-4.78-mRNA-1_1,0,1,1,0,0,0,1
augustus_masked-NC_026177.1-processed-gene-6.121-mRNA-1_1,0,1,1,1,1,0,1
augustus_masked-NC_026177.1-processed-gene-6.115-mRNA-1_1,0,1,1,0,1,0,1
maker-Spar_16-snap-gene-3.145-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_16-processed-gene-4.56-mRNA-1_1,0,0,0,0,0,1,0
maker-Spar_16-snap-gene-5.1-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_16-processed-gene-6.89-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_16-processed-gene-6.117-mRNA-1_1,0,0,0,0,0,1,0
maker-Spar_16-snap-gene-7.1-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_16-processed-gene-7.117-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_16-processed-gene-7.150-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_16-processed-gene-8.102-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_16-processed-gene-8.117-mRNA-1_1,0,0,0,0,0,1,0
maker-Spar_2-snap-gene-0.108-mRNA-1_1,0,0,0,0,0,1,0
maker-Spar_2-snap-gene-1.6-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_2-processed-gene-2.56-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_2-processed-gene-3.16-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_2-processed-gene-3.17-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_2-processed-gene-3.39-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_2-processed-gene-3.46-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_2-processed-gene-4.48-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_2-processed-gene-4.59-mRNA-1_1,0,1,1,1,0,1,0
genemark-Spar_2-processed-gene-5.154-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_2-processed-gene-6.74-mRNA-1_1,0,0,0,0,0,1,0
augustus_masked-Spar_2-processed-gene-6.101-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_2-processed-gene-6.75-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_2-processed-gene-6.66-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_2-processed-gene-6.69-mRNA-1_1,0,0,0,0,0,1,0
maker-Spar_2-snap-gene-7.44-mRNA-1_1,0,0,0,0,0,1,0
genemark-Spar_2-processed-gene-7.152-mRNA-1_1,0,0,0,0,0,2,0
snap_masked-Spar_2-processed-gene-7.78-mRNA-1_1,0,0,0,0,0,1,0
maker-Spar_2-snap-gene-7.45-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_3-processed-gene-0.73-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_3-processed-gene-0.98-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_3-processed-gene-1.89-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_3-processed-gene-1.102-mRNA-1_1,0,0,0,0,0,1,0
maker-Spar_3-snap-gene-1.2-mRNA-1_1,0,0,0,0,0,1,0
maker-Spar_3-snap-gene-1.3-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_3-processed-gene-1.117-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_3-processed-gene-2.96-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_3-processed-gene-2.125-mRNA-1_1,0,0,0,1,0,1,0
maker-Spar_3-snap-gene-2.152-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_3-processed-gene-2.117-mRNA-1_1,0,0,0,0,0,1,0
maker-Spar_3-snap-gene-2.155-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_3-processed-gene-2.118-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_3-processed-gene-2.141-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_4-processed-gene-0.34-mRNA-1_1,0,0,0,0,0,1,0
maker-Spar_4-snap-gene-0.1-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_4-processed-gene-0.37-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_4-processed-gene-0.39-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_4-processed-gene-0.55-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_4-processed-gene-0.60-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_4-processed-gene-0.73-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_4-processed-gene-1.97-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_4-processed-gene-1.130-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_4-processed-gene-1.134-mRNA-1_1,0,0,0,0,0,1,0
genemark-Spar_4-processed-gene-2.33-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_4-processed-gene-2.81-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_4-processed-gene-2.98-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_4-processed-gene-3.58-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_4-processed-gene-3.63-mRNA-1_1,0,2,0,0,0,1,0
maker-Spar_4-augustus-gene-4.10-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_4-processed-gene-4.17-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_4-processed-gene-4.54-mRNA-1_1,0,0,0,0,0,1,0
maker-Spar_4-snap-gene-5.2-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_4-processed-gene-5.68-mRNA-1_1,0,0,0,0,0,1,0
genemark-Spar_4-processed-gene-6.42-mRNA-1_1,0,0,0,0,0,1,0
genemark-Spar_4-processed-gene-6.55-mRNA-1_1,0,0,0,0,0,1,0
maker-Spar_4-snap-gene-7.125-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_4-processed-gene-7.11-mRNA-1_1,0,0,0,0,0,1,0
maker-Spar_4-snap-gene-7.123-mRNA-1_1,0,0,0,0,0,1,0
genemark-Spar_4-processed-gene-7.64-mRNA-1_1,0,0,0,0,1,1,0
genemark-Spar_4-processed-gene-8.37-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_4-processed-gene-8.61-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_4-processed-gene-8.92-mRNA-1_1,0,0,0,0,0,1,0
maker-Spar_4-snap-gene-8.143-mRNA-1_1,0,0,0,0,0,1,0
augustus_masked-Spar_4-processed-gene-9.119-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_4-processed-gene-9.98-mRNA-1_1,0,0,0,1,0,1,0
snap_masked-Spar_4-processed-gene-9.103-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_4-processed-gene-11.85-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_4-processed-gene-12.42-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_4-processed-gene-13.56-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_4-processed-gene-13.84-mRNA-1_1,0,0,0,0,0,1,0
genemark-Spar_4-processed-gene-13.37-mRNA-1_1,0,0,0,0,0,1,0
maker-Spar_4-snap-gene-14.172-mRNA-1_1,0,0,0,0,1,1,0
maker-Spar_4-augustus-gene-14.64-mRNA-1_1,0,0,0,0,0,1,0
maker-Spar_4-augustus-gene-14.66-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_4-processed-gene-14.56-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_4-processed-gene-14.23-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_4-processed-gene-14.27-mRNA-1_1,0,0,0,0,0,1,0
genemark-Spar_4-processed-gene-14.94-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_5-processed-gene-0.78-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_5-processed-gene-0.95-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_5-processed-gene-1.64-mRNA-1_1,0,0,0,0,0,1,0
augustus_masked-Spar_5-processed-gene-1.101-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_5-processed-gene-1.88-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_5-processed-gene-1.75-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_5-processed-gene-1.89-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_5-processed-gene-2.63-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_5-processed-gene-3.63-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_5-processed-gene-3.91-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_5-processed-gene-3.95-mRNA-1_1,0,0,0,0,0,1,0
genemark-Spar_5-processed-gene-4.24-mRNA-1_1,0,0,0,0,0,1,0
YDL125C,1,0,0,0,0,0,0
YDL126C,1,1,1,1,1,1,1
YDL127W,1,1,1,1,1,1,1
YDL128W,1,1,1,1,1,1,1
YDL129W,1,1,1,1,1,1,1
YDL130W,1,1,1,1,1,1,1
YDL130W-A,1,1,1,1,1,1,1
YDL132W,1,1,1,1,1,1,1
YDL133W,1,1,1,0,1,1,1
YDL134C,2,2,2,2,2,2,2
YDL135C,1,0,1,1,1,1,1
YDL138W,1,1,1,1,1,1,1
YDL139C,1,0,0,1,1,1,1
YDL140C,1,1,1,1,1,0,1
YDL141W,1,1,1,1,1,1,1
YDL142C,1,1,1,1,1,1,1
YDL143W,1,1,1,1,1,1,1
YDL144C,1,1,1,1,1,1,1
YDL145C,1,1,1,1,1,1,1
YDL146W,1,1,1,1,1,1,1
YDL147W,1,1,1,1,1,1,1
YDL148C,1,1,1,1,1,1,1
YDL149W,1,1,1,1,1,1,1
YDL150W,1,1,0,0,0,0,0
YDL151C,1,0,0,0,0,0,0
YDL152W,1,0,0,0,0,0,0
YDL153C,1,1,1,1,1,1,1
YDL154W,1,1,0,0,1,1,0
YDL155W,1,0,0,0,0,1,0
YDL156W,1,1,1,1,1,1,1
YDL157C,1,1,1,1,1,1,1
YDL158C,1,0,0,0,0,0,0
YDL159C-B,1,0,0,0,0,0,0
YDL159W,1,1,1,1,1,1,1
YDL159W-A,1,0,0,0,0,0,0
YDL160C,1,1,1,1,1,1,1
YDL160C-A,1,1,1,1,1,1,1
YDL161W,1,1,1,1,1,1,1
YDL162C,1,0,0,0,0,0,0
YDL163W,1,0,0,0,0,0,0
YDL164C,1,1,1,1,1,1,1
YDL165W,1,1,1,1,1,1,1
YDL166C,1,1,1,0,0,0,1
YDL167C,1,1,1,1,1,1,1
YDL168W,1,1,1,1,1,1,1
YDL169C,1,1,1,1,1,1,1
YDL170W,1,1,1,1,1,1,1
YDL171C,1,1,1,1,1,1,1
YDL172C,1,0,0,0,0,1,0
YDL173W,1,1,1,1,1,1,1
YDL174C,1,1,1,1,1,1,1
YDL175C,1,1,1,0,1,0,1
YDL176W,1,1,1,1,1,1,1
YDL177C,1,1,1,1,1,1,1
YDL178W,1,1,1,1,1,1,1
YDL179W,1,0,0,0,1,1,1
YDL180W,1,1,1,1,1,1,1
YDL181W,1,1,0,1,1,1,1
YDL182W,2,0,1,2,2,2,2
YDL183C,1,1,1,1,1,1,1
YDL184C,2,0,0,0,0,0,0
YDL185C-A,1,0,0,0,0,0,0
YDL185W,1,0,0,0,0,0,0
YDL186W,1,1,1,0,1,1,0
YDL187C,1,0,0,0,0,0,0
YDL189W,1,0,0,1,1,1,0
YDL190C,1,1,1,1,1,1,1
YDL191W,2,2,2,2,2,2,2
YDL192W,2,2,2,2,2,2,2
YDL193W,1,1,1,1,1,1,1
YDL194W,1,1,1,1,1,1,1
YDL195W,1,1,1,1,1,1,1
YDL196W,1,0,0,0,0,0,0
YDL197C,1,0,0,0,0,0,0
YDL198C,1,0,1,0,0,0,0
YDL199C,1,1,1,1,0,0,1
YDL200C,1,0,0,0,1,0,0
YDL201W,1,1,1,1,1,1,1
YDL202W,1,1,1,0,0,0,1
YDL203C,1,1,1,1,1,1,1
YDL204W,1,1,1,1,1,1,1
YDL205C,1,1,1,1,1,1,1
YDL206W,1,1,1,1,1,1,1
YDL207W,1,0,1,1,1,0,1
YDL208W,1,1,1,1,1,1,1
YDL209C,1,1,1,1,1,1,1
YDL210W,1,1,1,1,1,1,1
YDL211C,1,0,0,0,1,1,0
YDL212W,1,1,1,1,1,1,1
YDL213C,1,1,1,1,1,1,1
YDL214C,1,1,1,1,1,1,1
YDL215C,1,1,1,1,1,1,1
YDL216C,1,1,1,0,1,1,1
YDL217C,1,0,1,0,1,0,1
YDL218W,1,1,1,1,1,1,1
YNL271C,1,1,1,1,1,1,1
YNL272C,1,1,1,1,0,1,1
YNL273W,1,1,1,1,1,1,1
YNL274C,1,1,1,1,1,1,1
YNL275W,1,1,1,0,1,1,1
YLL007C,1,1,1,1,1,1,1
YLL008W,1,1,1,1,1,1,1
YLL009C,1,1,1,1,1,1,1
YLL010C,1,1,1,1,1,1,1
YLL011W,1,1,1,1,1,1,1
YLL012W,1,1,1,1,1,1,1
YLL013C,1,1,1,1,1,1,1
YLL014W,1,0,1,0,0,1,0
YLL015W,1,1,1,1,1,1,1
YLL016W,1,0,1,1,0,1,1
YLL017W,1,0,0,0,0,0,0
YLL018C,1,1,1,1,1,1,1
YLL018C-A,1,1,1,1,1,1,1
YLL019C,1,1,1,1,1,1,1
YLL019W-A,1,0,0,0,0,0,0
YLL020C,1,0,0,0,0,0,0
YLL021W,1,0,0,0,0,1,0
YLL022C,1,0,0,0,1,1,0
YLL023C,1,0,1,0,1,1,0
YLL024C,4,3,4,3,3,3,4
YLL026W,1,1,1,1,1,1,1
YLL027W,1,1,1,1,1,1,1
YLL028W,1,1,1,1,1,1,1
YLL029W,1,1,1,1,1,1,1
YLL030C,1,0,0,0,0,0,0
YLL031C,1,1,1,1,1,1,1
YLL032C,1,1,1,1,1,1,1
YLL033W,1,1,1,1,1,1,1
YLL034C,1,1,1,1,1,1,1
YLL035W,1,1,1,1,1,1,1
YLL036C,1,1,1,1,1,1,1
YLL037W,1,0,0,0,0,0,0
YLL038C,1,0,0,0,0,1,0
YLL039C,1,0,0,0,0,0,0
YLL040C,1,1,1,1,1,1,1
YLL041C,1,1,1,0,1,0,1
YLL042C,1,0,0,0,1,1,0
YLL043W,1,1,1,1,1,1,1
YLL044W,1,0,0,0,0,0,0
YLL045C,2,0,1,1,2,1,2
YLL046C,1,0,0,1,1,1,0
YLL047W,1,0,0,0,0,0,0
YLL048C,1,1,1,1,1,1,1
YLL049W,1,1,0,0,1,1,0
YLL050C,1,1,0,0,1,0,0
YLL051C,1,1,1,0,1,0,1
YLL052C,1,0,0,0,0,0,0
YLL053C,1,1,1,0,1,0,2
YLL054C,1,1,1,0,1,0,1
YLL055W,1,1,1,1,1,1,1
YLL056C,1,1,2,1,0,1,2
YLL057C,1,1,1,1,1,1,1
YLL058W,1,1,1,1,1,1,1
YLL059C,1,0,0,0,0,0,0
YLL060C,1,0,0,0,0,1,2
YLL061W,2,0,3,0,2,3,2
YLL062C,1,0,1,1,1,1,1
YLL063C,1,0,0,1,0,0,0
YLR001C,1,1,1,1,1,1,1
YLR002C,1,0,0,0,0,0,0
YLR003C,1,1,0,1,0,1,0
YLR004C,1,1,1,1,1,1,1
YLR005W,1,1,1,1,1,1,1
YLR006C,1,1,1,1,1,1,1
YLR007W,1,1,1,1,1,1,1
YLR008C,1,1,1,1,1,1,1
YLR009W,1,1,1,1,1,1,1
YLR010C,1,0,0,0,0,1,0
YLR011W,1,0,1,1,0,1,1
YLR012C,1,1,1,1,1,1,1
YLR013W,1,1,0,1,1,1,0
YLR014C,1,1,1,1,1,1,1
YLR015W,1,1,1,1,1,1,1
YLR016C,1,1,1,1,1,1,1
YLR017W,1,1,1,1,1,1,1
YLR018C,1,1,0,1,1,1,0
YLR019W,1,1,1,1,1,1,1
YLR020C,1,1,1,1,1,1,1
YLR021W,1,1,1,1,1,1,1
YLR022C,1,1,1,1,1,1,1
YLR023C,1,1,1,1,1,1,1
YLR024C,1,1,1,1,1,1,1
YLR025W,1,1,1,1,1,1,1
YLR026C,1,0,0,0,0,0,1
YLR027C,1,1,1,1,1,1,1
YLR028C,2,2,2,2,2,2,2
YLR030W,1,0,0,0,0,0,0
YLR031W,1,0,0,0,0,0,0
YLR032W,1,1,1,1,1,1,1
YLR033W,1,1,0,1,1,1,0
YLR034C,1,1,1,0,1,1,0
YLR035C,1,0,0,0,1,1,0
YLR036C,1,0,0,0,0,0,0
YLR038C,1,0,0,1,1,0,1
YLR039C,1,1,1,1,1,1,1
YLR040C,1,1,0,0,0,0,0
YLR041W,1,0,0,0,0,0,0
YLR042C,1,0,0,0,0,0,0
YLR043C,2,2,2,1,2,1,1
YLR045C,1,1,1,1,1,1,1
augustus_masked-Skud_12-processed-gene-6.112-mRNA-1_1,0,0,0,1,0,0,0
genemark-Skud_12-processed-gene-6.63-mRNA-1_1,0,0,0,1,0,0,0
augustus_masked-Skud_12-processed-gene-6.115-mRNA-1_1,0,0,0,1,0,0,0
augustus_masked-Skud_12-processed-gene-7.115-mRNA-1_1,0,0,0,1,0,0,0
augustus_masked-Skud_12-processed-gene-7.107-mRNA-1_1,0,0,0,1,0,0,0
augustus_masked-Skud_12-processed-gene-7.109-mRNA-1_1,0,0,0,1,0,0,0
snap_masked-Skud_12-processed-gene-8.249-mRNA-1_1,0,0,0,1,0,0,0
augustus_masked-Skud_12-processed-gene-8.169-mRNA-1_1,0,0,0,1,0,0,0
genemark-Skud_12-processed-gene-8.101-mRNA-1_1,0,0,0,1,0,0,0
snap_masked-Skud_12-processed-gene-8.262-mRNA-1_1,0,0,0,1,0,0,0
genemark-Skud_13-processed-gene-0.41-mRNA-1_1,0,0,0,1,0,0,0
augustus_masked-Skud_13-processed-gene-0.35-mRNA-1_1,0,0,0,1,0,0,0
snap_masked-Skud_13-processed-gene-1.109-mRNA-1_1,0,0,0,1,0,0,0
augustus_masked-Skud_13-processed-gene-1.88-mRNA-1_1,0,0,0,1,0,0,0
maker-Skud_13-snap-gene-1.7-mRNA-1_1,0,0,0,1,0,0,0
augustus_masked-Skud_13-processed-gene-2.52-mRNA-1_1,0,0,0,1,0,0,0
snap_masked-Skud_13-processed-gene-2.11-mRNA-1_1,0,0,0,1,0,0,0
genemark-Skud_13-processed-gene-2.118-mRNA-1_1,0,0,0,1,0,0,0
snap_masked-Smik_11-processed-gene-3.124-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_11-processed-gene-3.129-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_11-processed-gene-3.112-mRNA-1_1,0,0,0,0,1,0,0
maker-Smik_11-snap-gene-4.45-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_11-processed-gene-4.132-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_11-processed-gene-4.135-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_11-processed-gene-4.142-mRNA-1_1,0,0,0,0,1,0,0
genemark-Smik_11-processed-gene-5.80-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_11-processed-gene-5.9-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_11-processed-gene-5.10-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_11-processed-gene-5.13-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_11-processed-gene-5.41-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_11-processed-gene-5.69-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_12-processed-gene-0.14-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_12-processed-gene-0.3-mRNA-1_1,0,0,0,0,1,0,0
maker-Smik_12-snap-gene-1.47-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_12-processed-gene-1.20-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_12-processed-gene-2.5-mRNA-1_1,0,0,0,0,1,0,0
augustus_masked-Smik_12-processed-gene-2.123-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_12-processed-gene-2.6-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_12-processed-gene-3.6-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_12-processed-gene-3.10-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_12-processed-gene-3.18-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_12-processed-gene-4.107-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_12-processed-gene-6.30-mRNA-1_1,0,0,0,0,1,0,0
augustus_masked-Smik_12-processed-gene-7.27-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_12-processed-gene-7.109-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_12-processed-gene-7.131-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_12-processed-gene-8.187-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_12-processed-gene-8.235-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_12-processed-gene-8.239-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_12-processed-gene-8.242-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_12-processed-gene-8.212-mRNA-1_1,0,0,0,0,1,0,0
